keyword,beta1_time,beta3_interaction,beta3_se,beta3_p,beta3_ci_lower,beta3_ci_upper,attrition_rate,scenario,beta3_p_bh,significant_bh
리프팅시술,0.5346496873815483,-0.5580517063077086,0.1068183727354553,1.7481090080376992e-07,-0.7674118697563763,-0.34869154285904097,0.0,Unadjusted,5.244327024113098e-07,True
슈링크,0.3993156784185688,-0.2665311341238926,0.07638834854491232,0.0004845418842290644,-0.4162495461104134,-0.11681272213737184,0.0,Unadjusted,0.0009690837684581288,True
실리프팅,0.4445190905266309,-0.5731818641340696,0.09039884329593288,2.288891787413777e-10,-0.7503603412381781,-0.396003387029961,0.0,Unadjusted,1.3733350724482663e-09,True
써마지,0.33274406472660967,0.05290935595643364,0.1012032186102858,0.6011112852990055,-0.14544530763926028,0.25126401955212757,0.0,Unadjusted,0.7961297364441421,False
울쎄라,0.5210600499266422,-0.04669127237713286,0.12365846912516536,0.7057407761945561,-0.2890574182458152,0.1956748734915495,0.0,Unadjusted,0.7961297364441421,False
인모드,0.7052265700673692,-0.05512131280374135,0.21335149838812567,0.7961297364441421,-0.473282565692123,0.36303994008464036,0.0,Unadjusted,0.7961297364441421,False
리프팅시술,0.5354205869117135,-0.4527032886191742,0.11127054571479723,4.731845192154067e-05,-0.6707895507602945,-0.23461702647805396,0.03,3% annual attrition,0.00014195535576462203,True
슈링크,0.3998197167495453,-0.20615305850699944,0.07805383871427239,0.008262149684745833,-0.3591357712420715,-0.05317034577192739,0.03,3% annual attrition,0.016524299369491666,True
실리프팅,0.4449601734635005,-0.531145680468979,0.09125997910565381,5.8799028232906184e-09,-0.7100119527459383,-0.35227940819201975,0.03,3% annual attrition,3.5279416939743716e-08,True
써마지,0.33352842478833256,0.2006648272976885,0.12377047087877684,0.10496065361237408,-0.041920837974277675,0.44325049256965465,0.03,3% annual attrition,0.15744098041856114,False
울쎄라,0.5227829023180732,0.11909335104216424,0.1374617550657386,0.38628485618861386,-0.15032673813834974,0.3885134402226782,0.03,3% annual attrition,0.4635418274263366,False
인모드,0.7066321071316125,0.10945883456068206,0.23046819594224285,0.6348289060288477,-0.34225052906803416,0.5611681981893983,0.03,3% annual attrition,0.6348289060288477,False
리프팅시술,0.5360450350276843,-0.36693059351493396,0.1144608661781371,0.0013472049292878952,-0.5912697688633415,-0.14259141816652646,0.05,5% annual attrition,0.0040416147878636855,True
슈링크,0.40023134588009707,-0.15757169901684917,0.07879095383442504,0.04551425652824893,-0.3119991308398803,-0.0031442671938180233,0.05,5% annual attrition,0.0682713847923734,False
실리프팅,0.4453076664997577,-0.4967777027055751,0.09223510979927971,7.204556272669631e-08,-0.6775551960222608,-0.31600020938888945,0.05,5% annual attrition,4.3227337636017785e-07,True
써마지,0.3341750605098318,0.3190033511981846,0.1439944624436799,0.02673356476185633,0.03677939083536663,0.6012273115610026,0.05,5% annual attrition,0.05346712952371266,False
울쎄라,0.5241533192104475,0.25147705798891273,0.1510453223862934,0.09593046144938046,-0.04456633392146392,0.5475204498992894,0.05,5% annual attrition,0.11511655373925654,False
인모드,0.7077463014357492,0.23889765474521388,0.2438123424937699,0.32716395156160216,-0.23896575552891972,0.7167610650193474,0.05,5% annual attrition,0.32716395156160216,False
리프팅시술,0.5367712532729335,-0.26680397441676523,0.11822981848193034,0.024029607237330327,-0.4985301605400567,-0.035077788293473716,0.07,7% annual attrition,0.036044410855995496,True
슈링크,0.4007123759678243,-0.10131166042648238,0.07916630742658097,0.20063939078537574,-0.2564747717716069,0.05385145091864213,0.07,7% annual attrition,0.20063939078537574,False
실리프팅,0.4457042490876766,-0.45655518687671326,0.09363191908685199,1.0822376102789655e-06,-0.6400703760903116,-0.27303999766311493,0.07,7% annual attrition,6.493425661673793e-06,True
써마지,0.33493852564365223,0.45567958989750096,0.16908657307599204,0.007039953183709044,0.12427599639925657,0.7870831833957453,0.07,7% annual attrition,0.021119859551127135,True
울쎄라,0.5257281979307995,0.4040361178888716,0.1690858737255637,0.01686985094731158,0.07263389509227935,0.7354383406854639,0.07,7% annual attrition,0.03373970189462316,True
인모드,0.7090229568837676,0.3863710061995898,0.25882460198194124,0.13549193446963287,-0.12091589199792935,0.8936579043971089,0.07,7% annual attrition,0.16259032136355944,False
